Sample_ID,SOST_Expression,MKI67,Dataset
GSM519377,0.844538872115412,8.128757105665876,GSE20685
GSM519378,5.00798964845491,8.776734606427631,GSE20685
GSM519379,3.49565676400104,7.409345021224819,GSE20685
GSM519380,5.79817678917381,9.565231233680247,GSE20685
GSM519381,2.50618542238591,9.27299272406951,GSE20685
GSM519382,1.1687480830438,8.087084902329625,GSE20685
GSM519383,1.62571741402529,7.767821625654568,GSE20685
GSM519384,2.7152258522449,9.52430480611963,GSE20685
GSM519385,4.9076341943707,8.555013794954746,GSE20685
GSM519386,3.67791508115571,9.453837460479846,GSE20685
GSM519387,5.20279806402888,8.74957475966837,GSE20685
GSM519388,1.54682199471642,8.558423604737431,GSE20685
GSM519389,5.49445647186419,8.866254634898645,GSE20685
GSM519390,4.63912006888209,6.462089931172224,GSE20685
GSM519391,2.51926832315644,7.77920040158047,GSE20685
GSM519392,2.29470028783886,7.743634347043821,GSE20685
GSM519393,4.73648247200029,8.680829031473177,GSE20685
GSM519394,5.74094892650553,8.499209503534402,GSE20685
GSM519395,1.4443719195074,7.88858800854367,GSE20685
GSM519396,3.50303385622289,9.34509511375451,GSE20685
GSM519397,4.34886744115039,6.464745420897435,GSE20685
GSM519398,1.79315753479373,8.149690774124249,GSE20685
GSM519399,2.34011589358828,8.316411123273014,GSE20685
GSM519400,5.79396889237053,8.219140611616794,GSE20685
GSM519401,2.59178677730319,9.573242242606735,GSE20685
GSM519402,4.35650781619252,7.660277747179716,GSE20685
GSM519403,4.7879932849214,8.055300213381852,GSE20685
GSM519404,4.60759555796692,7.726970283002385,GSE20685
GSM519405,5.93878697109897,9.00851492783494,GSE20685
GSM519406,5.51126464538797,7.068555014057015,GSE20685
GSM519407,1.92474597994173,8.05827333797365,GSE20685
GSM519408,4.30483214455424,6.928115124112185,GSE20685
GSM519409,2.65192958043574,6.116213585442795,GSE20685
